month,visitors,visits,pages,hits,bandwidth
2012-07,879,1500,5343,16008,7.38
2012-07,2095,3806,11211,167293,15.26
2012-09,2530,4178,14857,187610,19.33
2012-10,3573,6101,36017,69085,21.39
2012-11,2844,6088,38831,61803,21.97
2012-12,2818,5008,20913,84005,21.73
2013-01,3462,5709,44361,103376,24.01
2013-02,3564,6005,27326,100636,23.62
2013-03,3836,8186,34302,112438,22.60
2013-04,4930,9582,43856,245253,33.06
2013-05,5441,10008,48638,173281,31.38
2013-06,4853,8592,35846,156348,293.34
2013-07,6570,10365,56704,329941,239.07
2013-08,10893,16244,121811,756057,424.72
2013-09,6682,12379,69086,1362177,141.10
2013-10,8016,13869,71902,386774,96.45
2013-11,8775,16178,116846,395028,248.53
2013-12,6871,14207,94639,775073,133.04
2014-01,6350,12994,69022,280050,77.41
2014-02,6448,12158,66308,277942,66.66
2014-03,8814,20192,98804,333959,74.87
2014-04,8914,23473,145083,508646,57.92
2014-05,10201,26065,404326,644701,73.95
2014-06,7814,20960,545079,753974,227.17
2014-07,7410,23164,367630,527645,162.11
2014-08,8240,28531,285696,400645,231.80
2014-09,9272,37195,298754,415583,94.28
2014-10,10904,51799,344831,496607,122.44
2014-11,11901,63089,345132,549370,145.25
2014-12,12451,50412,256882,391996,39.28
2015-01,10053,35573,146618,286692,39.80
2015-02,9499,27334,147415,299600,66.55
2015-03,11446,37531,166722,350998,104.88
2015-04,11048,29249,112619,279499,84.38
2015-05,17308,33679,113546,331520,141.77
2015-06,11920,26867,96108,249886,84.52
2015-07,10511,23809,84721,224802,36.53
2015-08,4483,9872,62984,124390,9.96
2015-09,10028,24829,134417,306928,24.58
2015-10,11415,28937,101946,302592,31.08
2015-11,11961,25520,96503,306772,29.03
2015-12,9521,18105,65896,231544,22.98
2016-01,9140,19131,62121,245051,30.16
2016-02,12961,23224,83942,332291,54.71
2016-03,10558,20258,76100,291009,30.38
2016-04,10384,20269,74992,291225,28.74
2016-05,10315,21381,142181,357548,34.97
2016-06,9227,18116,120042,295042,30.51
2016-07,8436,15704,109804,269962,22.68
2016-08,10027,17509,105595,266900,23.08
2016-09,11465,21669,100092,315182,27.19
2016-10,13614,27367,140736,387752,31.13
2016-11,14239,27007,135226,393322,32.98
2016-12,12964,24107,114431,335425,28.75
2017-01,14514,26309,137814,389171,28.30
2017-02,15228,28542,107720,388143,27.47
2017-03,17420,33267,152711,472603,29.67
2017-04,17366,32103,123810,438545,31.86
2017-05,17581,31916,154478,486435,33.72
2017-06,16898,29744,113268,396182,35.27
2017-07,16235,28060,90893,349929,31.72
2017-08,18345,30456,116938,378184,40.07
2017-09,19720,32739,112266,422394,37.65
2017-10,21341,35873,100389,441171,40.51
2017-11,21834,36245,97506,439755,36.56
2017-12,20103,32201,88930,382401,32.14
2018-01,20853,35902,127875,461278,41.42
2018-02,19611,34787,139105,486087,44.59
2018-03,19706,35264,125020,511382,37.32
2018-04,19735,36378,102149,503258,32.94
2018-05,20616,37058,114747,585999,38.05
2018-06,16358,29212,92831,522891,24.83
2018-07,16236,29919,93058,521956,25.36
2018-08,15243,30248,118393,547905,24.77
2018-09,15882,33077,92524,519490,28.54
2018-10,19104,36761,116344,657643,39.16
2018-11,20198,39364,126204,706953,44.56
2018-12,18099,40366,159584,660226,35.91
2019-01,19238,38123,146451,713867,38.34
2019-02,20418,44101,152100,760246,39.69
2019-03,23081,51404,177242,887388,47.45
2019-04,22938,50239,169072,881228,46.88
2019-05,23632,45820,183550,924076,52.18
2019-06,19274,37447,128876,727273,40.21
2019-07,18748,37176,133599,706916,33.85
2019-08,18229,34391,150349,672933,32.32
2019-09,20849,40079,171907,813012,39.45
2019-10,27660,63255,198950,1034668,36.85
2019-11,27790,55249,182136,1028453,35.08
2019-12,24088,45845,152189,827563,30.66
2020-01,31381,53248,153407,851376,33.45
2020-02,25008,48893,159318,916297,32.70
2020-03,23028,51190,170608,977238,34.40
